conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Inadmissible,,,9286/16,,ENG,25,001-213412,4,,ŽAGAR v. CROATIA,ECLI:CE:ECHR:2021:1019DEC000928616,,,HEDEC,ZAHARIJA A.,,HRV,,,,,ADMISSIBILITYCOM,8;35,4.799493,9286/16;55396/07
Inadmissible,,,18451/16,,ENG,25,001-213413,4,,STOLARCZYK v. POLAND,ECLI:CE:ECHR:2021:1012DEC001845116,,,HEDEC,KAŁUŻNY M.,,POL,,,,,ADMISSIBILITYCOM,8;35,4.799493,18451/16;40195/08;26761/95;20323/14;54558/15;28586/03;40950/12;20488/11;14447/11
Struck out of the list,,,3610/17,,ENG,25,001-213414,4,,JAHID AND OTHERS v. ITALY,ECLI:CE:ECHR:2021:1021DEC000361017,,,HEDEC,PAGGI M. ,,ITA,,,,,ADMISSIBILITYCOM,3;8;13;37;37-1,4.799493,3610/17;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,3963/17,,ENG,25,001-213415,4,,FOFANA v. ITALY,ECLI:CE:ECHR:2021:1021DEC000396317,,,HEDEC,PAGGI M. ,,ITA,,,,,ADMISSIBILITYCOM,3;8;37;37-1,4.799493,3963/17;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,16030/17,,ENG,25,001-213416,4,,DANSU AND OTHERS v. ITALY,ECLI:CE:ECHR:2021:1021DEC001603017,,,HEDEC,VARALI E. ,,ITA,,,,,ADMISSIBILITYCOM,3;8;13;37;37-1,4.799493,16030/17;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,36986/17,,ENG,25,001-213417,4,,BACARY v. ITALY,ECLI:CE:ECHR:2021:1021DEC003698617,,,HEDEC,LEO L. ,,ITA,,,,,ADMISSIBILITYCOM,3;8;37;37-1,4.799493,36986/17;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Partly struck out of the list;Partly inadmissible,,,46341/17,,ENG,25,001-213418,4,,"SLOVDAN, SPOL. S R.O. v. SLOVAKIA",ECLI:CE:ECHR:2021:1012DEC004634117,,,HEDEC,NOVÁČEK Z.,,SVK,,,,,ADMISSIBILITYCOM,6;6-1;35;39;P1-1,4.799493,46341/17;72493/10;28342/95;42533/11;25132/13;1349/12;16639/11;7261/06;54252/07;77688/01;42600/05
Struck out of the list,,,47523/17,,ENG,25,001-213419,4,,BODIANG v. ITALY,ECLI:CE:ECHR:2021:1021DEC004752317,,,HEDEC,LEO L. ,,ITA,,,,,ADMISSIBILITYCOM,3;8;13;37;37-1,4.799493,47523/17;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,12036/18,,ENG,25,001-213421,4,,M.B. AND OTHERS v. ITALY,ECLI:CE:ECHR:2021:1021DEC001203618,,,HEDEC,CECCHINI C.L. ,,ITA,,,,,ADMISSIBILITYCOM,3;37;37-1,4.799493,12036/18;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,12344/18,,ENG,25,001-213442,4,,S.B. AND OTHERS v. ITALY,ECLI:CE:ECHR:2021:1021DEC001234418,,,HEDEC,SANTORO G. ,,ITA,,,,,ADMISSIBILITYCOM,3;5;8;13;37;37-1,4.799493,12344/18;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,13302/18,,ENG,25,001-213443,4,,M.R. v. ITALY,ECLI:CE:ECHR:2021:1021DEC001330218,,,HEDEC,SANTORO G. ,,ITA,,,,,ADMISSIBILITYCOM,2;3;5;8;13;37;37-1;P4-2,4.799493,13302/18;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Inadmissible,,,16101/18,,ENG,25,001-213444,4,,CAMILLERI v. MALTA,ECLI:CE:ECHR:2021:1019DEC001610118,,,HEDEC,AZZOPARDI T. ; ABELA A. ,,MLT,,,,,ADMISSIBILITYCOM,6;6-2;13;13+P7-3;35;P7-3,4.799493,16101/18;22999/06;26601/02;37957/15;32463/06;547/02;45138/98;25424/09;68286/01;48817/99;9647/02;3883/14;40139/19;41418/14
Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect),,,31611/18,2;2-1,ENG,28,001-213445,4,16/11/2021 00:00:00,CASE OF MARIN v. ROMANIA,ECLI:CE:ECHR:2021:1116JUD003161118,,,HEJUD,POPESCU M.,FALSE,ROU,,,,,COMMITTEE,2;2-1,4.799493,
Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing),,,19146/18,3;6;6-1,ENG,28,001-213446,4,16/11/2021 00:00:00,CASE OF TOMA v. ROMANIA,ECLI:CE:ECHR:2021:1116JUD001914618,,,HEJUD,GRIGURIU A.,FALSE,ROU,,,,,COMMITTEE,3;6;6-1,4.799493,
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life),,,39356/17,8;8-1,ENG,28,001-213447,4,16/11/2021 00:00:00,CASE OF KYAZIM v. BULGARIA,ECLI:CE:ECHR:2021:1116JUD003935617,,,HEJUD,BOZUKOVA-PEEVA K.,FALSE,BGR,,,,,COMMITTEE,8;8-1,4.799493,
Struck out of the list,,,22567/18,,ENG,25,001-213449,4,,MOROVIĆ v. CROATIA,ECLI:CE:ECHR:2021:1019DEC002256718,,,HEDEC,BUDIMIR S.,,HRV,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1;P1-1,4.799493,22567/18;22238/13;26307/95;11602/02;28953/03;9737/06;57785/00;38458/15;1920/14;18369/07;72874/01;20230/15
Struck out of the list,,,53788/18,,ENG,25,001-213454,4,,C.L. v. ITALY,ECLI:CE:ECHR:2021:1021DEC005378818,,,HEDEC,ARGENTO A. ,,ITA,,,,,ADMISSIBILITYCOM,5;13;37;37-1;P4-4,4.799493,53788/18;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,53790/18,,ENG,25,001-213455,4,,M.J. v. ITALY,ECLI:CE:ECHR:2021:1021DEC005379018,,,HEDEC,BONDI L. ,,ITA,,,,,ADMISSIBILITYCOM,5;13;37;37-1;P4-4,4.799493,53790/18;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,40181/19,,ENG,25,001-213456,4,,SUPAN v. CROATIA,ECLI:CE:ECHR:2021:1021DEC004018119,,,HEDEC,GREGURIĆ-BLEKIĆ M.,,HRV,,,,,ADMISSIBILITYCOM,6;6-1;39,4.799493,40181/19
Struck out of the list,,,52609/19,,ENG,25,001-213457,4,,BENETA v. CROATIA,ECLI:CE:ECHR:2021:1021DEC005260919,,,HEDEC,MOČIĆ I. ,,HRV,,,,,ADMISSIBILITYCOM,6;6-1;39,4.799493,52609/19
Violation of Article 2 - Right to life (Article 2-1 - Life) (Substantive aspect);Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect),,,39290/19,2;2-1,ENG,28,001-213458,4,16/11/2021 00:00:00,CASE OF NEDELCU v. ROMANIA,ECLI:CE:ECHR:2021:1116JUD003929019,,,HEJUD,GRIGORIU A.,FALSE,ROU,,,,,COMMITTEE,2;2-1,4.799493,
Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),,,16363/19,10;10-1,ENG,26,001-213459,4,16/11/2021 00:00:00,CASE OF YILDIRIM DEMİR v. TURKEY,ECLI:CE:ECHR:2021:1116JUD001636319,,,HEJUD,,FALSE,TUR,,,,,COMMITTEE,10;10-1,4.799493,
Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),,,57092/15,10;10-1,ENG,26,001-213460,4,16/11/2021 00:00:00,CASE OF EMİN AYDIN v. TURKEY,ECLI:CE:ECHR:2021:1116JUD005709215,,,HEJUD,ERYALÇIN T.,FALSE,TUR,,,,,COMMITTEE,10;10-1,4.799493,
Inadmissible,,,56311/19,,ENG,25,001-213484,4,,DARMANIN v. MALTA,ECLI:CE:ECHR:2021:1019DEC005631119,,,HEDEC,CAMILLERI M. ,,MLT,,,,,ADMISSIBILITYCOM,6;13;13+6;13+P1-1;35;P1-1,4.799493,56311/19;47045/06;46931/12;14013/19;36813/97;28342/95;18766/11;36030/11;31102/06;49378/18;43675/16;55747/16;79177/16;2243/10;24788/17;30210/96;60642/08;13378/05;14019/19
Struck out of the list (Article 37-1 - Striking out applications),,,30787/03;7400/04;18095/04;28676/04;44930/04;10910/05;27676/05;39267/05;19564/06;22775/06;32783/06;40991/06;48678/06;3081/07;13880/07;43869/07;19533/08;56617/08;35117/10;44958/11;70679/12,,ENG,28,001-213500,4,16/11/2021 00:00:00,CASE OF MOLOȚIU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:1116JUD003078703,,,HEJUD,TROFAILA V. ; SOLACOLU C. ; SOCIÉTÉ CIVILE D’AVOCATS BEJENARU & PARTENERS ; BARBAT V. ; PODARU O.L. ; COSMA L. ; MARCU O. ; GALAN C. ; STEGAROIU C. ; RUSU A. ; IONESCU A. ; ANSTETT L. ; SERBANESCU V. ; OLARU D. ; ANTAL R. ; LOVIN N.,FALSE,ROU,,,,,COMMITTEE,37;37-1,4.799493,
Struck out of the list (Article 37-1 - Striking out applications);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,17536/04;25014/05;37174/06;20554/07;10555/09,,ENG,28,001-213501,4,16/11/2021 00:00:00,CASE OF GRIGORESCU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:1116JUD001753604,,,HEJUD,MÎNDROC G.L. C. ; MATEI R.-T. ; RAUCA-DAMIAN A.-N. ; STEGAROIU M.,FALSE,ROU,,,,,COMMITTEE,37;37-1;41,4.799493,
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,35952/10,P1-1;P1-1-1,ENG,26,001-213502,4,16/11/2021 00:00:00,CASE OF EL v. TURKEY,ECLI:CE:ECHR:2021:1116JUD003595210,,,HEJUD,ŞENYAŞAR S.M.,FALSE,TUR,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-1) Six-month period;(Art. 35-1) Final domestic decision;No violation of Article 2 - Right to life (Article 2 - Positive obligations;Article 2-1 - Life) (Substantive aspect);Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,69736/12,2;2-1,ENG,7,001-213519,3,30/11/2021 00:00:00,CASE OF DERENIK MKRTCHYAN AND GAYANE MKRTCHYAN v. ARMENIA,ECLI:CE:ECHR:2021:1130JUD006973612,"Anahit Mkrtchyan v. Armenia, no. 3673/11, 7 May 2020;Centre for Legal Resources on behalf of Valentin Câmpeanu v. Romania [GC], no. 47848/08, ECHR 2014;Ilbeyi Kemaloğlu and Meriye Kemaloğlu v. Turkey, no. 19986/06, 10 April 2012;Kayak v. Turkey, no. 60444/08, 10 July 2012;Kurt v. Austria [GC], no. 62903/15, 15 June 2021;Magnitskiy and Others v. Russia, nos. 32631/09 and 53799/12, § 272, 27 August 2019;Muradyan v. Armenia, no. 11275/07, § 161, 24 November 2016;Osman v. the United Kingdom, 28 October 1998, § 116, Reports of Judgments and Decisions 1998 VIII;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, 20 March 2018;Ražnatović v. Montenegro, no. 14742/18, §§ 43-44, 2 September 2021;Ribcheva and Others v. Bulgaria, nos. 37801/16 and 2 others, § 139, 30 March 2021;Sabri Güneş v. Turkey [GC], no. 27396/06, §§ 28-31, 29 June 2012",2;2-1,HEJUD,ZALYAN A. ; EVANS J. ; GAVRON J. ; LEACH P. ; LEVINE K.,TRUE,ARM,,,,,CHAMBER,2;2-1;35;35-1;41,4.799493,69736/12;37685/10;22768/12;47848/08;62903/15;19986/06;60444/08;14742/18;37801/16;32631/09;53799/12;3673/11;11275/07;27396/06;44312/12
Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction),,,52358/15,10;10-1,ENG,7,001-213520,3,30/11/2021 00:00:00,CASE OF GENOV AND SARBINSKA v. BULGARIA,ECLI:CE:ECHR:2021:1130JUD005235815,"Apostolovi v. Bulgaria, no. 32644/09, § 116, 7 November 2019;Aurelian Oprea v. Romania, no. 12138/08, § 86, 19 January 2016;Centre for Democracy and the Rule of Law v. Ukraine, no. 10090/16, § 55, 26 March 2020;Couderc and Hachette Filipacchi Associés v. France [GC], no. 40454/07, § 157, ECHR 2015 (extracts);Denisov v. Ukraine [GC], no. 76639/11, § 93, 25 September 2018;Hajibeyli and Aliyev v. Azerbaijan, nos. 6477/08 and 10414/08, § 73, 19 April 2018;Handzhiyski v. Bulgaria, no. 10783/14, 6 April 2021;Kanat and Bozan v. Turkey, no. 13799/04, § 26, 21 October 2008;Karademirci and Others v. Turkey, nos. 37096/97 and 37101/97, § 49, ECHR 2005-I;Khlaifia and Others v. Italy [GC], no. 16483/12, § 288, ECHR 2016 (extracts);Kingsley v. the United Kingdom [GC], no. 35605/97, § 49, ECHR 2002-IV;König v. Germany (Article 50), 10 March 1980, § 23, Series A no. 36;Lingens v. Austria, 8 July 1986, § 52, Series A no. 103;Margulev v. Russia, no. 15449/09, § 37, 8 October 2019;Marinova and Others v. Bulgaria, nos. 33502/07 and 3 others, 12 July 2016;N.Š. v. Croatia, no. 36908/13, § 60, 10 September 2020;Nenkova-Lalova v. Bulgaria, no. 35745/05, 11 December 2012;Orban and Others v. France, no. 20985/05, § 58, 15 January 2009;Perinçek v. Switzerland [GC], no. 27510/08, ECHR 2015 (extracts);Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, § 126, 20 March 2018;Rumyana Ivanova v. Bulgaria, no. 36207/03, § 69, 14 February 2008;Shvydka v. Ukraine, no. 17888/12, § 39, 30 October 2014;Stângu and Scutelnicu v. Romania, no. 53899/00, § 56, 31 January 2006;Studio Monitori and Others v. Georgia, nos. 44920/09 and 8942/10, § 32, 30 January 2020;Vesselinov v. Bulgaria, no. 3157/16, § 38, 2 May 2019;Yordanova and Toshev v. Bulgaria, no. 5126/05, § 41, 2 October 2012",,HEJUD,EKIMDZHIEV M. ; BONCHEVA K.,TRUE,BGR,,Article 325 § 1 of the Bulgarian Criminal Code ; Article 39 of the Bulgarian Constitution,,,CHAMBER,10;10-1;10-2;41,4.799493,52358/15;10783/14;9540/07;17888/12;44920/09;8942/10;10090/16;36908/13;76639/11;15450/03;45975/12;10271/12;5126/05;35745/05;27510/08;15449/09;53899/00;36207/03;3157/16;33502/07;20985/05;12138/08;13799/04;37096/97;37101/97;40454/07;6477/08;10414/08;37685/10;22768/12;32644/09;35605/97;16483/12;39496/11
No violation of Article 8 - Right to respect for private and family life (Article 8 - Expulsion;Article 8-1 - Respect for private life),,,40240/19,,ENG,5,001-213522,3,30/11/2021 00:00:00,CASE OF AVCI v. DENMARK,ECLI:CE:ECHR:2021:1130JUD004024019,"Amrollahi v. Denmark (dec.), no. 56811/00, 28 June 2001;Axel Springer AG v. Germany [GC], no. 39954/08, § 88, 7 February 2012;Balogun v. the United Kingdom, no. 60286/09, §§ 49 and 53, 10 April 2012;Bousarra v. France, no. 25672/07, § 53, 23 September 2010;Ezzouhdi v. France, no. 47160/99, § 34, 13 February 2001;Keles v. Germany, no. 32231/02, § 66, 27 October 2005;Levakovic v. Denmark, no. 7841/14, § 45, 23 October 2018;Maslov v. Austria [GC], no. 1638/03, § 75, ECHR 2008;Mutlag v Germany, no. 40601/05, §§ 61-62, 25 March 2010;Ndidi v. the United Kingdom, no. 41215/14, § 76, 14 September 2017;Salem v. Denmark, no. 77036/11, §§ 56 and 66, 1 December 2016;Samsonnikov v. Estonia, no. 52178/10, § 89, 3 July 2012;Selmouni v. France [GC], no. 25803/94, § 74, ECHR 1999-V;Von Hannover v. Germany (no. 2) [GC], nos. 40660/08 and 60641/08, § 107, ECHR 2012",8;8-1,HEJUD,GRITH STAGE M.,TRUE,DNK,,"<div class=""ExternalClassDDD2E7F6B3FB4EBEBA28193FC4738F8D"">Aliens Act ; Penal Code
</div>",,,CHAMBER,8;8-1;8-2,4.799493,40240/19;56803/18;77036/11;25803/94;56811/00;1638/03;60286/09;52178/10;47160/99;32231/02;25672/07;40601/05;41215/14;7841/14;40660/08;60641/08;39954/08;41643/19;85603/18;25402/14
Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,13064/18;13067/18;13068/18;13069/18;13074/18;13075/18;13077/18;13079/18;13080/18;24961/18;51299/19;51346/19;51365/19;57915/19,6;6-1;P1-1;P1-1-1,ENG,28,001-213523,4,30/11/2021 00:00:00,CASE OF VEGH AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:1130JUD001306418,,,HEJUD,MÎLCU A. ; ROATA-PALADE A.,FALSE,ROU,,,,,COMMITTEE,6;6-1;P1-1;P1-1-1,4.799493,13064/18;13067/18;13068/18;13069/18;13074/18;13075/18;13077/18;13079/18;13080/18;24961/18;51299/19;51346/19;51365/19;57915/19;48006/11;45733/10;55508/07;29520/09;33509/04;2699/03;43597/07;64098/09;79867/12;31107/96;20514/15
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing),,,23553/15,6;6-1,ENG,28,001-213525,4,30/11/2021 00:00:00,CASE OF BORGOVAN v. ROMANIA,ECLI:CE:ECHR:2021:1130JUD002355315,,,HEJUD,N/A,FALSE,ROU,,,,,COMMITTEE,6;6-1,4.799493,23553/15;24428/03;26977/03;36480/07;7268/10;17984/04;76943/11;34796/09
Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);Violation of Article 34 - Individual applications (Article 34 - Hinder the exercise of the right of application),,,64733/09,11;11-1;34,ENG,23,001-213527,4,02/12/2021 00:00:00,CASE OF ELECTION MONITORING CENTRE AND OTHERS v. AZERBAIJAN,ECLI:CE:ECHR:2021:1202JUD006473309,,,HEJUD,ALIYEV I.,FALSE,AZE,,,,,CHAMBER,11;11-1;34,4.799493,64733/09;70981/11;68762/14;71200/14;2204/11;27309/14;44363/02;46930/10;69466/14;44158/98;39748/98;201/17;14305/17;21279/02;36448/02;37553/05;931/13;37685/10;22768/12;10090/16;35943/10;10814/07;37083/03;40269/02;60259/11;12200/08;59491/00
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing;Equality of arms),,,36516/19,,ENG,23,001-213529,3,02/12/2021 00:00:00,CASE OF JALLOW v. NORWAY,ECLI:CE:ECHR:2021:1202JUD003651619,"A.B.V. v. Russia, no. 56987/15, § 65, 2 October 2018;Anayo v. Germany, no. 20578/07, § 56, 21 December 2010;Bivolaru v. Romania (no. 2), no. 66580/12, § 138, 2 October 2018;Dijkhuizen v. the Netherlands, no. 61591/16, § 53, 8 June 2021;Ichetovkina and Others v. Russia, nos. 12584/05 and 5 others, § 37, 4 July 2017;Marcello Viola v. Italy, no. 45106/04, §§ 67 and 73-74, ECHR 2006 XI (extracts);Regner v. the Czech Republic [GC], no. 35289/11, §§ 146-47, 19 September 2017;Yevdokimov and Others v. Russia, nos. 27236/05 and 10 others, §§ 41-43, 16 February 2016",6;6-1,HEJUD,SCHJATVET C.,FALSE,NOR,,,,,CHAMBER,6;6-1;8;8-1;35;35-3-a,4.799493,36516/19;29192/95;5605/04;35289/11;61591/16;66580/12;12584/05;27236/05;45106/04;56987/15;20578/07
Communicated,,,62993/16,,ENG,,001-213546,4,,NIKITINA v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,2;2-1,4.799493,62993/16;3853/14;71506/13;56080/13
Communicated,,,41147/17,,ENG,,001-213547,4,,RUSSIAN POLITICAL PARTY VOLYA v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,6;6-1;10;10-1;11;11-1;13;P1-3;P7-2,4.799493,41147/17;38004/12;1413/08;28621/11
Struck out of the list,,,60154/19,,ENG,25,001-213548,4,,APETOFIA v. ITALY,ECLI:CE:ECHR:2021:1021DEC006015419,,,HEDEC,CONIGLIARO S.,,ITA,,,,,ADMISSIBILITYCOM,3;5;13;37;37-1,4.799493,60154/19;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life),,,47695/14,8;8-1,ENG,7,001-213549,4,16/11/2021 00:00:00,CASE OF VĂCEAN v. ROMANIA,ECLI:CE:ECHR:2021:1116JUD004769514,,,HEJUD,CRECIUN D.,FALSE,ROU,,,,,CHAMBER,8;8-1,4.799493,
Struck out of the list,,,60161/19,,ENG,25,001-213550,4,,NKONTCHOUA TCHOUMBOU v. ITALY,ECLI:CE:ECHR:2021:1021DEC006016119,,,HEDEC,SICILIA F.M.,,ITA,,,,,ADMISSIBILITYCOM,3;5;13;37;37-1,4.799493,60161/19;60125/11;16643/09;8675/15;8697/15;30880/10;56437/07;25424/05;41744/10;41805/10
Struck out of the list,,,47809/20,,ENG,25,001-213552,4,,KVESIĆ v. CROATIA,ECLI:CE:ECHR:2021:1021DEC004780920,,,HEDEC,DABELIC O.,,HRV,,,,,ADMISSIBILITYCOM,6;6-1;6-3-c;6-3-d;39,4.799493,47809/20
Inadmissible,,,37464/21;43204/21,,ENG,25,001-213553,4,,ZAMMIT AND BUSUTTIL v. MALTA,ECLI:CE:ECHR:2021:1019DEC003746421,,,HEDEC,DEBONO N.,,MLT,,,,,ADMISSIBILITYCOM,6;13;13+6;13+P1-1;35;P1-1,4.799493,37464/21;43204/21;47045/06;14013/19;36813/97;28342/95;18766/11;36030/11;31102/06;49378/18;43675/16;55747/16;58910/19;2243/10;24788/17
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,14402/11,P1-1;P1-1-1,ENG,26,001-213554,4,16/11/2021 00:00:00,CASE OF ÖZTÜRK v. TURKEY,ECLI:CE:ECHR:2021:1116JUD001440211,,,HEJUD,YILMAZ N.,FALSE,TUR,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,
Struck out of the list,,,22222/18;64844/19;4157/20,,ENG,25,001-213560,4,,VALENTA AND OTHERS v. CROATIA,ECLI:CE:ECHR:2021:1021DEC002222218,,,HEDEC,KALABRIC A.,,HRV,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1,4.799493,22222/18;26307/95;31386/17;9849/15;18369/07;64844/19;4157/20
Inadmissible,,,17262/20;14975/21,,ENG,25,001-213561,4,,AMIDŽIĆ v. CROATIA,ECLI:CE:ECHR:2021:1012DEC001726220,,,HEDEC,NOVAKOVIC Z.,,HRV,,,,,ADMISSIBILITYCOM,5;6;6-1;6-3-c;13;35,4.799493,17262/20;14975/21;35584/02;28932/14;71667/17;5380/12;66580/12
Struck out of the list,,,12099/21;21223/21,,ENG,25,001-213562,4,,SPLIT FERRY PORT JSC AND MATINAC v. CROATIA,ECLI:CE:ECHR:2021:1021DEC001209921,,,HEDEC,BILIŠKOV J. ; OSTOVIĆ D.,,HRV,,,,,ADMISSIBILITYCOM,6;6-1;39,4.799493,12099/21;21223/21
Inadmissible,,,11666/13,,ENG,5,001-213563,4,,AGHENIE AND OTHERS v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:1019DEC001166613,,,HEDEC,DODON I.,,MDA,,,,,ADMISSIBILITY,6;6-1;35;P1-1,4.799493,11666/13;28342/95;6267/02;73049/01;44912/98
Partly inadmissible,,,8090/09;8104/09;8121/09;8129/09;8133/09;8135/09;8145/09;8153/09;8154/09;8168/09;8180/09;8182/09;8202/09;8204/09;8228/09;8233/09;8237/09;8239/09;8240/09;8262/09;8375/09;8525/09;8538/09;8554/09;8603/09;8724/09;8799/09;8912/09;8989/09;8996/09;9000/09;9035/09;9089/09;9099/09;9218/09;9239/09;9465/09;9891/09;9913/09;10046/09;10341/09;14681/09;16518/09;16574/09;17296/09;19779/09;19795/09;19810/09;20397/09;20828/09;22334/09;22528/09;25906/09;25965/09;26010/09;26674/09;45691/09;47954/09;52486/09,,ENG,5,001-213564,4,,JIOSHVILI AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:1019DEC000809009,,,HEDEC, BOTCHORISHVILI B. ; DEKANOSIDZE E. ; EVANS J. ; JAVAKHISHVILI TS. ; JIJELAVA V. ; LEGASHVILI N. ; MAGHRADZE B. ; PAKSADZE E. ; WESSELINK E.,,RUS,,,,,ADMISSIBILITY,2;3;4;5;7;8;13;14;35;P1-1;P4-2,4.799493,8090/09;38263/08;14681/09;47954/09;8153/09;8204/09;8525/09;8538/09;8554/09;8603/09;8799/09;8912/09;8989/09;8996/09;9218/09;9239/09;9891/09;9913/09;10046/09;10341/09;16518/09;16574/09;17296/09;19795/09;19810/09;52486/09;8104/09;8121/09;8129/09;8133/09;8135/09;8145/09;8154/09;8168/09;8180/09;8182/09;8202/09;8228/09;8233/09;8237/09;8239/09;8240/09;8262/09;8375/09;8724/09;9000/09;9035/09;9089/09;9099/09;9465/09;19779/09;20397/09;20828/09;22334/09;22528/09;25906/09;25965/09;26010/09;26674/09;45691/09;24964/09;20548/09;22469/09;2256/09;2260/09;8274/09;8275/09;40167/06
Struck out of the list,,,69750/12,,ENG,26,001-213571,4,,YACAN v. TURKEY,ECLI:CE:ECHR:2021:1021DEC006975012,,,HEDEC,PASA N.,,TUR,,,,,ADMISSIBILITYCOM,6;37;37-1,4.799493,69750/12;26307/95;4378/02;69762/12;29084/07;1191/08;18369/07
Struck out of the list,,,47444/14,,ENG,26,001-213572,4,,C.A. v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:1021DEC004744414,,,HEDEC,ANDRIUTA V.,,MDA,,,,,ADMISSIBILITYCOM,3;8;14;37;37-1,4.799493,47444/14;26307/95;22457/16;18369/07
Struck out of the list,,,54355/15,,ENG,26,001-213575,4,,PETR v. THE CZECH REPUBLIC,ECLI:CE:ECHR:2021:1021DEC005435515,,,HEDEC,FOJTIK J.,,CZE,,,,,ADMISSIBILITYCOM,6;6-1;13;39,4.799493,54355/15
Inadmissible,,,15103/20,,ENG,26,001-213578,4,,J.T. v. SLOVENIA,ECLI:CE:ECHR:2021:1012DEC001510320,,,HEDEC,VESENJAK S. ,,SVN,,,,,ADMISSIBILITYCOM,8;8-1;8-2;35,4.799493,15103/20;86/04;62357/14;27138/04;4241/12;7841/08;57900/12;16428/05;24029/07
Struck out of the list,,,44325/20,,ENG,26,001-213579,4,,BIJORAC v. SERBIA,ECLI:CE:ECHR:2021:1021DEC004432520,,,HEDEC,GARIBOVIC R.,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;39;P1-1,4.799493,44325/20
